本地频道,#genre#
重庆新闻,http://27.10.89.172:4022/udp/225.0.4.188:7980
重庆新闻,http://27.10.89.172:4022/udp/225.0.4.59:7980
重庆新农村,http://27.10.89.172:4022/udp/225.0.4.189:7980
重庆新农村,http://27.10.89.172:4022/udp/225.0.4.70:7980
重庆社会与法,http://27.10.89.172:4022/udp/225.0.4.190:7980
重庆社会与法,http://27.10.89.172:4022/udp/225.0.4.64:7980
重庆少儿,http://27.10.89.172:4022/udp/225.0.4.191:7980
重庆少儿,http://27.10.89.172:4022/udp/225.0.4.71:7980
重庆影视剧,http://27.10.89.172:4022/udp/225.0.4.192:7980
重庆影视剧,http://27.10.89.172:4022/udp/225.0.4.62:7980
重庆红叶,http://27.10.89.172:4022/udp/225.0.4.193:7980
重庆红叶,http://27.10.89.172:4022/udp/225.0.4.63:7980
重庆文体娱乐,http://27.10.89.172:4022/udp/225.0.4.194:7980
重庆文体娱乐,http://27.10.89.172:4022/udp/225.0.4.65:7980
重庆汽摩,http://27.10.89.172:4022/udp/225.0.4.195:7980
重庆汽摩,http://27.10.89.172:4022/udp/225.0.4.61:7980
重庆红岩文化,http://27.10.89.172:4022/udp/225.0.4.196:7980
重庆红岩文化,http://27.10.89.172:4022/udp/225.0.4.69:7980
重庆移动,http://27.10.89.172:4022/udp/225.0.4.215:7980
重庆移动,http://27.10.89.172:4022/udp/225.0.4.68:7980
时尚购物,http://27.10.89.172:4022/udp/225.0.4.198:7980
爱生活,http://27.10.89.172:4022/udp/225.0.4.164:7980
IPTV相声小品,http://27.10.89.172:4022/udp/225.0.4.56:7980
IPTV野外,http://27.10.89.172:4022/udp/225.0.4.57:7980
IPTV3+,http://27.10.89.172:4022/udp/225.0.4.51:7980
IPTV5+,http://27.10.89.172:4022/udp/225.0.4.53:7980
IPTV6+,http://27.10.89.172:4022/udp/225.0.4.50:7980
IPTV8+,http://27.10.89.172:4022/udp/225.0.4.54:7980
经典电影,http://27.10.89.172:4022/udp/225.0.4.48:7980
解密,http://27.10.89.172:4022/udp/225.0.4.153:7980
全纪实,http://27.10.89.172:4022/udp/225.0.4.113:7980
纪实,http://27.10.89.172:4022/udp/225.0.4.99:7980
地理,http://27.10.89.172:4022/udp/225.0.4.149:7980
古装剧场,http://27.10.89.172:4022/udp/225.0.4.147:7980
武侠剧场,http://27.10.89.172:4022/udp/225.0.4.168:7980
军旅剧场,http://27.10.89.172:4022/udp/225.0.4.146:7980
喜剧影院,http://27.10.89.172:4022/udp/225.0.4.169:7980
动作影院,http://27.10.89.172:4022/udp/225.0.4.170:7980
家庭影院,http://27.10.89.172:4022/udp/225.0.4.171:7980
星影,http://27.10.89.172:4022/udp/225.0.4.172:7980
